"","title","summary","Date","link"
"50","German arms exports decline in 2019 first quarter","
German exports decreased again in the first quarter of this year — a decrease of 7.4 percent from the same point last year. Germany's Economic Ministry cites a ""restrictive and responsible"" export policy as the reason.

",2020-04-24,"https://www.dw.com/search/en//en/german-arms-exports-decline-in-2019-first-quarter/a-48453934"
"51","Zen Meditation: Just sit there.","
Many people are looking for a way to find more peace of mind and relaxation. Here's an exercise.

",2020-12-17,"https://www.dw.com/search/en//en/zen-meditation-just-sit-there/a-18260861"
"52","Sri Lanka: More arrests as death toll grows","
Sri Lankan police detained 18 suspects in a string of raids over the bombings that hit the country on Easter Sunday. The government also said it had confirmed that dozens more had died in the attacks.

",2020-04-24,"https://www.dw.com/search/en//en/sri-lanka-more-arrests-as-death-toll-grows/a-48454241"
"53","Kim Jong Un arrives in Russia for Putin summit","
North Korea's Kim Jong Un has travelled to Russia ahead of his talks with President Vladimir Putin in Vladivostok. Amid stalled nuclear talks with the US, Kim is expected to seek diplomatic assistance from the Kremlin.

",2020-04-24,"https://www.dw.com/search/en//en/kim-jong-un-arrives-in-russia-for-putin-summit/a-48454227"
"54","Martin Helme on Conflict Zone","
Is the far right the mainstream in Estonia? The eurosceptic Conservative People’s Party (EKRE) made major gains in Estonia's parliamentary election with an anti-immigrant campaign warning of an upsurge in crime. 

",2020-04-24,"https://www.dw.com/search/en//en/martin-helme-on-conflict-zone/av-47897193"
"55","Venezuelan opposition envoy appeals to OAS for help","
Gustavo Tarre called on the Organization of American States to help with the ""reconstruction of Venezuela."" His address came days after Nicolas Maduro called for a celebration for Venezuela's departure from the OAS.

",2020-04-24,"https://www.dw.com/search/en//en/venezuelan-opposition-envoy-appeals-to-oas-for-help/a-48453991"
"56","Hong Kong pro-democracy protest leaders sentenced","
The ""Umbrella Movement"" leaders organized 79 days of pro-democracy protests in the semi-autonomous Chinese territory in 2014. The group wanted Hong Kong voters to have the right to choose the city's leader.

",2020-04-24,"https://www.dw.com/search/en//en/hong-kong-pro-democracy-protest-leaders-sentenced/a-48454096"
"57","Klitschko brothers: Ukrainians want results from Zelenskiy","
Former boxing champions Wladimir and Vitali Klitschko believe Ukraine's new president must lay out his vision for the country. They told DW that Volodymyr Zelenskiy must not forget the ideals of the Maidan revolution.

",2020-04-24,"https://www.dw.com/search/en//en/klitschko-brothers-ukrainians-want-results-from-zelenskiy/a-48452606"
"58","Top stories in 90 seconds","
DW News presents the most important news — in brief, quickly and up-to-date.

",2020-04-24,"https://www.dw.com/search/en//en/top-stories-in-90-seconds/av-17974027"
"59","Donald Trump meets with Twitter boss Jack Dorsey","
Donald Trump has repeatedly complained about the social media giant's supposed bias against conservatives. Trump's latest complaints came after the company's shares surged 15 percent.

",2020-04-24,"https://www.dw.com/search/en//en/donald-trump-meets-with-twitter-boss-jack-dorsey/a-48453966"
"60","German arms exports decline in 2019 first quarter","
German exports decreased again in the first quarter of this year — a decrease of 7.4 percent from the same point last year. Germany's Economic Ministry cites a ""restrictive and responsible"" export policy as the reason.

",2020-04-24,"https://www.dw.com/search/en//en/german-arms-exports-decline-in-2019-first-quarter/a-48453934"
"61","Zen Meditation: Just sit there.","
Many people are looking for a way to find more peace of mind and relaxation. Here's an exercise.

",2020-12-17,"https://www.dw.com/search/en//en/zen-meditation-just-sit-there/a-18260861"
"62","Sri Lanka: More arrests as death toll grows","
Sri Lankan police detained 18 suspects in a string of raids over the bombings that hit the country on Easter Sunday. The government also said it had confirmed that dozens more had died in the attacks.

",2020-04-24,"https://www.dw.com/search/en//en/sri-lanka-more-arrests-as-death-toll-grows/a-48454241"
"63","Kim Jong Un arrives in Russia for Putin summit","
North Korea's Kim Jong Un has travelled to Russia ahead of his talks with President Vladimir Putin in Vladivostok. Amid stalled nuclear talks with the US, Kim is expected to seek diplomatic assistance from the Kremlin.

",2020-04-24,"https://www.dw.com/search/en//en/kim-jong-un-arrives-in-russia-for-putin-summit/a-48454227"
"64","Martin Helme on Conflict Zone","
Is the far right the mainstream in Estonia? The eurosceptic Conservative People’s Party (EKRE) made major gains in Estonia's parliamentary election with an anti-immigrant campaign warning of an upsurge in crime. 

",2020-04-24,"https://www.dw.com/search/en//en/martin-helme-on-conflict-zone/av-47897193"
"65","Venezuelan opposition envoy appeals to OAS for help","
Gustavo Tarre called on the Organization of American States to help with the ""reconstruction of Venezuela."" His address came days after Nicolas Maduro called for a celebration for Venezuela's departure from the OAS.

",2020-04-24,"https://www.dw.com/search/en//en/venezuelan-opposition-envoy-appeals-to-oas-for-help/a-48453991"
"66","Hong Kong pro-democracy protest leaders sentenced","
The ""Umbrella Movement"" leaders organized 79 days of pro-democracy protests in the semi-autonomous Chinese territory in 2014. The group wanted Hong Kong voters to have the right to choose the city's leader.

",2020-04-24,"https://www.dw.com/search/en//en/hong-kong-pro-democracy-protest-leaders-sentenced/a-48454096"
"67","Klitschko brothers: Ukrainians want results from Zelenskiy","
Former boxing champions Wladimir and Vitali Klitschko believe Ukraine's new president must lay out his vision for the country. They told DW that Volodymyr Zelenskiy must not forget the ideals of the Maidan revolution.

",2020-04-24,"https://www.dw.com/search/en//en/klitschko-brothers-ukrainians-want-results-from-zelenskiy/a-48452606"
"68","Top stories in 90 seconds","
DW News presents the most important news — in brief, quickly and up-to-date.

",2020-04-24,"https://www.dw.com/search/en//en/top-stories-in-90-seconds/av-17974027"
"69","Donald Trump meets with Twitter boss Jack Dorsey","
Donald Trump has repeatedly complained about the social media giant's supposed bias against conservatives. Trump's latest complaints came after the company's shares surged 15 percent.

",2020-04-24,"https://www.dw.com/search/en//en/donald-trump-meets-with-twitter-boss-jack-dorsey/a-48453966"
"70","German arms exports decline in 2019 first quarter","
German exports decreased again in the first quarter of this year — a decrease of 7.4 percent from the same point last year. Germany's Economic Ministry cites a ""restrictive and responsible"" export policy as the reason.

",2020-04-24,"https://www.dw.com/search/en//en/german-arms-exports-decline-in-2019-first-quarter/a-48453934"
"71","Zen Meditation: Just sit there.","
Many people are looking for a way to find more peace of mind and relaxation. Here's an exercise.

",2020-12-17,"https://www.dw.com/search/en//en/zen-meditation-just-sit-there/a-18260861"
"72","Sri Lanka: More arrests as death toll grows","
Sri Lankan police detained 18 suspects in a string of raids over the bombings that hit the country on Easter Sunday. The government also said it had confirmed that dozens more had died in the attacks.

",2020-04-24,"https://www.dw.com/search/en//en/sri-lanka-more-arrests-as-death-toll-grows/a-48454241"
"73","Kim Jong Un arrives in Russia for Putin summit","
North Korea's Kim Jong Un has travelled to Russia ahead of his talks with President Vladimir Putin in Vladivostok. Amid stalled nuclear talks with the US, Kim is expected to seek diplomatic assistance from the Kremlin.

",2020-04-24,"https://www.dw.com/search/en//en/kim-jong-un-arrives-in-russia-for-putin-summit/a-48454227"
"74","Martin Helme on Conflict Zone","
Is the far right the mainstream in Estonia? The eurosceptic Conservative People’s Party (EKRE) made major gains in Estonia's parliamentary election with an anti-immigrant campaign warning of an upsurge in crime. 

",2020-04-24,"https://www.dw.com/search/en//en/martin-helme-on-conflict-zone/av-47897193"
"75","Venezuelan opposition envoy appeals to OAS for help","
Gustavo Tarre called on the Organization of American States to help with the ""reconstruction of Venezuela."" His address came days after Nicolas Maduro called for a celebration for Venezuela's departure from the OAS.

",2020-04-24,"https://www.dw.com/search/en//en/venezuelan-opposition-envoy-appeals-to-oas-for-help/a-48453991"
"76","Hong Kong pro-democracy protest leaders sentenced","
The ""Umbrella Movement"" leaders organized 79 days of pro-democracy protests in the semi-autonomous Chinese territory in 2014. The group wanted Hong Kong voters to have the right to choose the city's leader.

",2020-04-24,"https://www.dw.com/search/en//en/hong-kong-pro-democracy-protest-leaders-sentenced/a-48454096"
"77","Klitschko brothers: Ukrainians want results from Zelenskiy","
Former boxing champions Wladimir and Vitali Klitschko believe Ukraine's new president must lay out his vision for the country. They told DW that Volodymyr Zelenskiy must not forget the ideals of the Maidan revolution.

",2020-04-24,"https://www.dw.com/search/en//en/klitschko-brothers-ukrainians-want-results-from-zelenskiy/a-48452606"
"78","Top stories in 90 seconds","
DW News presents the most important news — in brief, quickly and up-to-date.

",2020-04-24,"https://www.dw.com/search/en//en/top-stories-in-90-seconds/av-17974027"
"79","Donald Trump meets with Twitter boss Jack Dorsey","
Donald Trump has repeatedly complained about the social media giant's supposed bias against conservatives. Trump's latest complaints came after the company's shares surged 15 percent.

",2020-04-24,"https://www.dw.com/search/en//en/donald-trump-meets-with-twitter-boss-jack-dorsey/a-48453966"
"80","German arms exports decline in 2019 first quarter","
German exports decreased again in the first quarter of this year — a decrease of 7.4 percent from the same point last year. Germany's Economic Ministry cites a ""restrictive and responsible"" export policy as the reason.

",2020-04-24,"https://www.dw.com/search/en//en/german-arms-exports-decline-in-2019-first-quarter/a-48453934"
"81","Zen Meditation: Just sit there.","
Many people are looking for a way to find more peace of mind and relaxation. Here's an exercise.

",2020-12-17,"https://www.dw.com/search/en//en/zen-meditation-just-sit-there/a-18260861"
"82","Sri Lanka: More arrests as death toll grows","
Sri Lankan police detained 18 suspects in a string of raids over the bombings that hit the country on Easter Sunday. The government also said it had confirmed that dozens more had died in the attacks.

",2020-04-24,"https://www.dw.com/search/en//en/sri-lanka-more-arrests-as-death-toll-grows/a-48454241"
"83","Kim Jong Un arrives in Russia for Putin summit","
North Korea's Kim Jong Un has travelled to Russia ahead of his talks with President Vladimir Putin in Vladivostok. Amid stalled nuclear talks with the US, Kim is expected to seek diplomatic assistance from the Kremlin.

",2020-04-24,"https://www.dw.com/search/en//en/kim-jong-un-arrives-in-russia-for-putin-summit/a-48454227"
"84","Martin Helme on Conflict Zone","
Is the far right the mainstream in Estonia? The eurosceptic Conservative People’s Party (EKRE) made major gains in Estonia's parliamentary election with an anti-immigrant campaign warning of an upsurge in crime. 

",2020-04-24,"https://www.dw.com/search/en//en/martin-helme-on-conflict-zone/av-47897193"
"85","Venezuelan opposition envoy appeals to OAS for help","
Gustavo Tarre called on the Organization of American States to help with the ""reconstruction of Venezuela."" His address came days after Nicolas Maduro called for a celebration for Venezuela's departure from the OAS.

",2020-04-24,"https://www.dw.com/search/en//en/venezuelan-opposition-envoy-appeals-to-oas-for-help/a-48453991"
"86","Hong Kong pro-democracy protest leaders sentenced","
The ""Umbrella Movement"" leaders organized 79 days of pro-democracy protests in the semi-autonomous Chinese territory in 2014. The group wanted Hong Kong voters to have the right to choose the city's leader.

",2020-04-24,"https://www.dw.com/search/en//en/hong-kong-pro-democracy-protest-leaders-sentenced/a-48454096"
"87","Klitschko brothers: Ukrainians want results from Zelenskiy","
Former boxing champions Wladimir and Vitali Klitschko believe Ukraine's new president must lay out his vision for the country. They told DW that Volodymyr Zelenskiy must not forget the ideals of the Maidan revolution.

",2020-04-24,"https://www.dw.com/search/en//en/klitschko-brothers-ukrainians-want-results-from-zelenskiy/a-48452606"
"88","Top stories in 90 seconds","
DW News presents the most important news — in brief, quickly and up-to-date.

",2020-04-24,"https://www.dw.com/search/en//en/top-stories-in-90-seconds/av-17974027"
"89","Donald Trump meets with Twitter boss Jack Dorsey","
Donald Trump has repeatedly complained about the social media giant's supposed bias against conservatives. Trump's latest complaints came after the company's shares surged 15 percent.

",2020-04-24,"https://www.dw.com/search/en//en/donald-trump-meets-with-twitter-boss-jack-dorsey/a-48453966"
"90","German arms exports decline in 2019 first quarter","
German exports decreased again in the first quarter of this year — a decrease of 7.4 percent from the same point last year. Germany's Economic Ministry cites a ""restrictive and responsible"" export policy as the reason.

",2020-04-24,"https://www.dw.com/search/en//en/german-arms-exports-decline-in-2019-first-quarter/a-48453934"
"91","Zen Meditation: Just sit there.","
Many people are looking for a way to find more peace of mind and relaxation. Here's an exercise.

",2020-12-17,"https://www.dw.com/search/en//en/zen-meditation-just-sit-there/a-18260861"
"92","Sri Lanka: More arrests as death toll grows","
Sri Lankan police detained 18 suspects in a string of raids over the bombings that hit the country on Easter Sunday. The government also said it had confirmed that dozens more had died in the attacks.

",2020-04-24,"https://www.dw.com/search/en//en/sri-lanka-more-arrests-as-death-toll-grows/a-48454241"
"93","Kim Jong Un arrives in Russia for Putin summit","
North Korea's Kim Jong Un has travelled to Russia ahead of his talks with President Vladimir Putin in Vladivostok. Amid stalled nuclear talks with the US, Kim is expected to seek diplomatic assistance from the Kremlin.

",2020-04-24,"https://www.dw.com/search/en//en/kim-jong-un-arrives-in-russia-for-putin-summit/a-48454227"
"94","Martin Helme on Conflict Zone","
Is the far right the mainstream in Estonia? The eurosceptic Conservative People’s Party (EKRE) made major gains in Estonia's parliamentary election with an anti-immigrant campaign warning of an upsurge in crime. 

",2020-04-24,"https://www.dw.com/search/en//en/martin-helme-on-conflict-zone/av-47897193"
"95","Venezuelan opposition envoy appeals to OAS for help","
Gustavo Tarre called on the Organization of American States to help with the ""reconstruction of Venezuela."" His address came days after Nicolas Maduro called for a celebration for Venezuela's departure from the OAS.

",2020-04-24,"https://www.dw.com/search/en//en/venezuelan-opposition-envoy-appeals-to-oas-for-help/a-48453991"
"96","Hong Kong pro-democracy protest leaders sentenced","
The ""Umbrella Movement"" leaders organized 79 days of pro-democracy protests in the semi-autonomous Chinese territory in 2014. The group wanted Hong Kong voters to have the right to choose the city's leader.

",2020-04-24,"https://www.dw.com/search/en//en/hong-kong-pro-democracy-protest-leaders-sentenced/a-48454096"
"97","Klitschko brothers: Ukrainians want results from Zelenskiy","
Former boxing champions Wladimir and Vitali Klitschko believe Ukraine's new president must lay out his vision for the country. They told DW that Volodymyr Zelenskiy must not forget the ideals of the Maidan revolution.

",2020-04-24,"https://www.dw.com/search/en//en/klitschko-brothers-ukrainians-want-results-from-zelenskiy/a-48452606"
"98","Top stories in 90 seconds","
DW News presents the most important news — in brief, quickly and up-to-date.

",2020-04-24,"https://www.dw.com/search/en//en/top-stories-in-90-seconds/av-17974027"
"99","Donald Trump meets with Twitter boss Jack Dorsey","
Donald Trump has repeatedly complained about the social media giant's supposed bias against conservatives. Trump's latest complaints came after the company's shares surged 15 percent.

",2020-04-24,"https://www.dw.com/search/en//en/donald-trump-meets-with-twitter-boss-jack-dorsey/a-48453966"
"100","German arms exports decline in 2019 first quarter","
German exports decreased again in the first quarter of this year — a decrease of 7.4 percent from the same point last year. Germany's Economic Ministry cites a ""restrictive and responsible"" export policy as the reason.

",2020-04-24,"https://www.dw.com/search/en//en/german-arms-exports-decline-in-2019-first-quarter/a-48453934"
